ts,latitude,longitude,O_Hum,O_Temp,PH,TDS,W_Temp
2022-11-21 15:02:00,22.6253,120.299,47.0,28.0,7.8,120.0,30.0
2022-11-21 15:02:01,22.6253,120.299,47.0,28.0,7.8,120.0,30.0
2022-11-21 15:04:06,22.6253,120.299,47.0,28.0,7.8,120.0,30.0
2022-11-21 15:04:24,22.6253,120.299,47.0,28.0,7.8,120.0,30.0
2022-11-21 15:05:43,22.6253,120.299,47.0,28.0,7.8,120.0,30.0
2022-11-21 15:06:05,22.6253,120.299,47.0,28.0,7.8,120.0,30.0
2022-11-21 15:10:26,22.6253,120.299,47.0,28.0,7.8,120.0,30.0
2022-11-21 15:12:40,22.6253,120.299,47.0,28.0,7.8,120.0,30.0
2022-11-21 15:14:10,22.6253,120.299,47.0,28.0,7.8,120.0,30.0
2022-11-21 15:17:11,22.6253,120.299,15.0,28.0,5.0,68.0,26.0
2022-11-21 15:47:40,22.6252,120.299,31.0,32.0,9.0,169.0,28.0
2022-11-21 15:47:41,22.6254,120.299,58.0,24.0,6.0,348.0,31.0
2022-11-21 15:47:43,22.6253,120.299,91.0,21.0,5.0,340.0,24.0
2022-11-21 15:47:44,22.6252,120.299,72.0,32.0,8.0,299.0,21.0
2022-11-21 15:47:45,22.6253,120.299,19.0,18.0,9.0,273.0,30.0
2022-11-21 15:47:46,22.6253,120.299,74.0,22.0,7.0,177.0,25.0
2022-11-21 15:47:47,22.6253,120.299,54.0,23.0,6.0,47.0,28.0
2022-11-21 15:47:48,22.6252,120.299,88.0,29.0,5.0,284.0,28.0
2022-11-21 15:47:49,22.6252,120.299,86.0,17.0,9.0,96.0,22.0
2022-11-21 15:47:50,22.6252,120.299,0.0,18.0,8.0,28.0,23.0
2022-11-21 15:47:51,22.6253,120.299,57.0,31.0,7.0,53.0,23.0
2022-11-21 15:47:52,22.6253,120.299,35.0,22.0,6.0,117.0,29.0
2022-11-21 15:47:54,22.6253,120.299,99.0,33.0,5.0,309.0,29.0
2022-11-21 15:47:55,22.6253,120.299,17.0,26.0,4.0,139.0,31.0
2022-11-21 15:47:56,22.6253,120.299,94.0,16.0,4.0,318.0,23.0
2022-11-21 15:47:57,22.6253,120.299,20.0,23.0,8.0,407.0,26.0
2022-11-21 15:47:58,22.6252,120.299,31.0,29.0,5.0,271.0,20.0
2022-11-21 15:47:59,22.6252,120.299,90.0,28.0,9.0,21.0,29.0
2022-11-21 15:48:00,22.6253,120.299,5.0,29.0,7.0,352.0,22.0
2022-11-21 15:48:01,22.6253,120.299,35.0,23.0,8.0,144.0,27.0
2022-11-21 15:48:02,22.6253,120.299,95.0,26.0,6.0,90.0,27.0
2022-11-21 15:48:03,22.6252,120.299,82.0,33.0,6.0,442.0,34.0
2022-11-21 15:48:05,22.6252,120.299,35.0,28.0,6.0,183.0,31.0
2022-11-21 15:48:06,22.6252,120.299,89.0,29.0,8.0,281.0,29.0
2022-11-21 15:48:07,22.6253,120.299,32.0,19.0,9.0,352.0,29.0
2022-11-21 15:48:08,22.6252,120.299,26.0,17.0,4.0,263.0,25.0
2022-11-21 15:48:09,22.6253,120.299,70.0,20.0,7.0,41.0,24.0
2022-11-21 15:48:10,22.6252,120.299,8.0,20.0,9.0,319.0,27.0
2022-11-21 15:48:11,22.6253,120.299,83.0,21.0,4.0,116.0,26.0
2022-11-21 15:48:12,22.6252,120.299,25.0,26.0,9.0,95.0,25.0
2022-11-22 02:45:28,22.6253,120.299,47.0,28.0,7.8,120.0,30.0
2022-11-22 02:59:16,22.6253,120.299,47.0,28.0,7.8,120.0,30.0
2022-11-22 03:00:01,22.6253,120.299,47.0,28.0,7.8,120.0,30.0
2022-11-22 08:13:13,22.6253,120.299,47.0,28.0,7.8,120.0,30.0
2022-11-22 08:13:37,22.6253,120.299,47.0,28.0,7.8,120.0,30.0
2022-11-22 08:17:20,22.6253,120.299,47.0,28.0,7.8,120.0,30.0
